DEBUG | 2011-05-19 08:06:49,973 | 2744 | view.views.home | home
DEBUG | 2011-05-19 08:06:49,973 | 2744 | view.views.home | home 620459358
DEBUG | 2011-05-19 08:07:02,509 | 2744 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-19 08:07:02,509 | 2744 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-19 08:07:02,509 | 2744 | view.views.xhr_subscription | POST
DEBUG | 2011-05-19 08:07:02,510 | 2744 | view.views.create_subscription | create_subscription
DEBUG | 2011-05-19 08:07:02,510 | 2744 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-19 08:07:02,512 | 2744 | NESManager.manager.save_subscription | json_data: {"directionMode": true, "addressDirection": "Both", "monitoredParty": {"phoneNumber": "0034620459358"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}
DEBUG | 2011-05-19 08:07:03,829 | 2744 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-19 08:07:03,831 | 2744 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-19 08:07:03,831 | 2744 | view.views.xhr_subscription | POST
DEBUG | 2011-05-19 08:07:03,831 | 2744 | view.views.create_subscription | create_subscription
DEBUG | 2011-05-19 08:07:03,831 | 2744 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-19 08:07:03,831 | 2744 | NESManager.manager.save_subscription | json_data: {"directionMode": true, "addressDirection": "Both", "monitoredParty": {"phoneNumber": "0034620459358"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}
DEBUG | 2011-05-19 08:07:10,263 | 2744 | view.views.home | home
DEBUG | 2011-05-19 08:07:10,263 | 2744 | view.views.home | home 620459358
DEBUG | 2011-05-19 08:07:51,325 | 2744 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-19 08:07:51,325 | 2744 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-19 08:07:51,325 | 2744 | view.views.xhr_subscription | POST
DEBUG | 2011-05-19 08:07:51,325 | 2744 | view.views.create_subscription | create_subscription
DEBUG | 2011-05-19 08:07:51,325 | 2744 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-19 08:07:51,325 | 2744 | NESManager.manager.save_subscription | json_data: {"directionMode": true, "addressDirection": "Both", "monitoredParty": {"phoneNumber": "0034620459358"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}
DEBUG | 2011-05-19 08:08:48,621 | 4272 | view.views.home | home
DEBUG | 2011-05-19 08:08:48,621 | 4272 | view.views.home | home 620459358
DEBUG | 2011-05-19 08:08:54,082 | 4272 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-19 08:08:54,082 | 4272 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-19 08:08:54,082 | 4272 | view.views.xhr_subscription | POST
DEBUG | 2011-05-19 08:08:54,082 | 4272 | view.views.create_subscription | create_subscription
DEBUG | 2011-05-19 08:08:54,084 | 4272 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-19 08:08:54,084 | 4272 | NESManager.manager.save_subscription | json_data: {"directionMode": true, "addressDirection": "Both", "monitoredParty": {"phoneNumber": "0034620459358"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}
DEBUG | 2011-05-19 08:08:54,293 | 4272 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-19 08:08:54,293 | 4272 | NESManager.manager.save_subscription | json_data: {"directionMode": true, "addressDirection": "Called", "monitoredParty": {"phoneNumber": "0034666777999"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}
DEBUG | 2011-05-19 08:08:54,414 | 4272 | view.views.manage_subscription | manage_subscription
DEBUG | 2011-05-19 08:08:54,417 | 4272 | view.views.manage_subscription | real_number 620459358
DEBUG | 2011-05-19 08:08:54,526 | 4272 | view.views.manage_subscription | save
DEBUG | 2011-05-19 08:09:13,319 | 4272 | soaplib.service.service.build_public_methods | building public methods
DEBUG | 2011-05-19 08:09:13,322 | 4272 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}HandleEvent'
DEBUG | 2011-05-19 08:09:13,322 | 4272 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}Test'
DEBUG | 2011-05-19 08:09:13,322 | 4272 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}hello_world'
DEBUG | 2011-05-19 08:10:11,301 | 3500 | soaplib.service.service.build_public_methods | building public methods
DEBUG | 2011-05-19 08:10:11,301 | 3500 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}HandleEvent'
DEBUG | 2011-05-19 08:10:11,301 | 3500 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}Test'
DEBUG | 2011-05-19 08:10:11,302 | 3500 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}hello_world'
DEBUG | 2011-05-19 08:12:06,684 | 3500 | nes_api_rest.views.views.handle | handle
DEBUG | 2011-05-19 08:12:06,684 | 3500 | NESManager.manager.handle | called:0034620459358
DEBUG | 2011-05-19 08:12:06,686 | 3500 | NESManager.manager.handle | calling:0034666111000
DEBUG | 2011-05-19 08:12:06,686 | 3500 | NESManager.manager.handle | calledParticipant:620459358
DEBUG | 2011-05-19 08:12:06,687 | 3500 | NESManager.manager.handle | callingParticipant:666111000
DEBUG | 2011-05-19 08:12:06,687 | 3500 | NESManager.manager.handle | callSessionID:129916513689383
DEBUG | 2011-05-19 08:12:06,763 | 3500 | nes_api_rest.views.views.handle | json_data: {"action": {"transactionId": "0123456789", "callingPartyAddress": {"phoneNumber": "#666111000"}, "routingAddress": {"phoneNumber": "620459358"}, "legId": "2", "actionToPerform": "Route"}, "callSessionID": "129916513689383"}
DEBUG | 2011-05-22 08:12:26,970 | 5540 | view.views.home | home
DEBUG | 2011-05-22 08:12:26,970 | 5540 | view.views.home | home 620459358
DEBUG | 2011-05-22 08:15:51,996 | 5540 | soaplib.service.service.build_public_methods | building public methods
DEBUG | 2011-05-22 08:17:54,400 | 1880 | soaplib.service.service.build_public_methods | building public methods
DEBUG | 2011-05-22 08:17:54,400 | 1880 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}Test'
DEBUG | 2011-05-22 08:17:54,400 | 1880 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}hello_world'
DEBUG | 2011-05-22 08:18:19,355 | 1880 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-22 08:18:19,355 | 1880 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-22 08:18:19,355 | 1880 | view.views.xhr_subscription | DELETE
DEBUG | 2011-05-22 08:18:19,355 | 1880 | view.views.delete_subscription | delete_susbcription
DEBUG | 2011-05-22 08:18:19,496 | 1880 | view.views.delete_subscription | 0034620459358
DEBUG | 2011-05-22 08:18:19,608 | 1880 | view.views.delete_subscription | 0034666777999
DEBUG | 2011-05-22 08:18:19,609 | 1880 | view.views.delete_subscription | correlator_list: 222,222
DEBUG | 2011-05-22 08:18:19,609 | 1880 | NESManager.manager.delete_subscription | delete_subscription
DEBUG | 2011-05-22 08:18:22,854 | 1880 | view.views.manage_subscription | manage_subscription
DEBUG | 2011-05-22 08:18:22,854 | 1880 | view.views.manage_subscription | real_number 620459358
DEBUG | 2011-05-22 08:18:23,098 | 1880 | view.views.manage_subscription | delete
DEBUG | 2011-05-22 08:23:04,759 | 3988 | soaplib.service.service.build_public_methods | building public methods
DEBUG | 2011-05-22 08:23:04,760 | 3988 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}Test'
DEBUG | 2011-05-22 08:23:04,760 | 3988 | soaplib.wsgi.wsgi.build_schema | adding method '{http://127.0.0.1:8000}hello_world'
DEBUG | 2011-05-22 08:24:29,454 | 3988 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-22 08:24:29,456 | 3988 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-22 08:24:29,456 | 3988 | view.views.xhr_subscription | POST
DEBUG | 2011-05-22 08:24:29,457 | 3988 | view.views.create_subscription | create_subscription
DEBUG | 2011-05-22 08:24:29,457 | 3988 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-22 08:24:29,457 | 3988 | NESManager.manager.save_subscription | json_data: {"startCallNotification": {"directionMode": true, "addressDirection": "Both", "monitoredParty": {"phoneNumber": "0034620459358"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}}
DEBUG | 2011-05-22 08:24:34,582 | 3988 | view.views.home | home
DEBUG | 2011-05-22 08:24:34,584 | 3988 | view.views.home | home 620459358
DEBUG | 2011-05-22 08:25:23,430 | 3988 | view.views.xhr_subscription | xhr_subscription
DEBUG | 2011-05-22 08:25:23,431 | 3988 | view.views.xhr_subscription | prefix 0034
DEBUG | 2011-05-22 08:25:23,433 | 3988 | view.views.xhr_subscription | POST
DEBUG | 2011-05-22 08:25:23,433 | 3988 | view.views.create_subscription | create_subscription
DEBUG | 2011-05-22 08:25:23,433 | 3988 | NESManager.manager.save_subscription | save_subscription
DEBUG | 2011-05-22 08:25:23,434 | 3988 | NESManager.manager.save_subscription | json_data: {"startCallNotification": {"directionMode": true, "addressDirection": "Both", "monitoredParty": {"phoneNumber": "0034620459358"}, "reference": {"endpoint": "http://212.179.159.77/nesphase2", "interfaceName": "ParlayX"}, "criteria": ["CalledNumber"]}}
DEBUG | 2011-05-22 08:25:29,424 | 3988 | view.views.home | home
DEBUG | 2011-05-22 08:25:29,424 | 3988 | view.views.home | home 620459358
DEBUG | 2011-05-22 08:27:56,460 | 200 | view.views.xhr_subscription | xhr_subscription
